review_id,product_name,rating,review_text,review_date
1,Wireless Earbuds Pro,5,Delivery was on time but packaging was basic.,13-02-2026
2,Smartphone X12,2,It's fine for the price.,22-01-2026
3,Smartphone X12,5,Not worth the price.,14-04-2025
4,Fitness Tracker Z,1,Customer support was not helpful at all.,16-12-2025
5,Smartphone X12,2,"The product is okay, does the job.",16-02-2026
6,Smartphone X12,4,"Not bad, but could be improved.",16-08-2025
7,Laptop Air 14,4,Customer support was not helpful at all.,31-03-2025
8,Laptop Air 14,2,Not worth the price.,09-06-2025
9,Laptop Air 14,3,"Absolutely love the product, it exceeded my expectations.",27-08-2025
10,Wireless Earbuds Pro,4,Customer support was not helpful at all.,17-01-2026
